time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-06T15:21:31.270Z,36.2838,-97.5255,5.47,2.7,mb_lg,,43,0.204,0.12,us,us2000dvly,2018-04-06T16:13:38.218Z,"21km W of Perry, Oklahoma",earthquake,0.7,3.1,0.077,44,reviewed,us,us
2018-04-06T15:07:12.840Z,36.2787,-97.5061,5.59,3.7,mb,,31,0.211,0.17,us,us2000dvlb,2018-04-09T00:57:53.040Z,"19km W of Perry, Oklahoma",earthquake,0.7,4,0.16,10,reviewed,us,us
2018-04-06T15:05:26.270Z,36.2878,-97.5211,5.72,3.1,mb_lg,,33,0.209,0.2,us,us2000dvl9,2018-04-06T15:30:39.040Z,"20km W of Perry, Oklahoma",earthquake,0.4,3.4,0.051,100,reviewed,us,us
2018-04-06T00:48:56.670Z,34.6788333,-119.9998333,2.13,2.53,ml,32,49,0.05032,0.16,ci,ci37908959,2018-04-06T17:05:39.980Z,"10km NE of Santa Ynez, CA",earthquake,0.2,0.38,0.146,25,reviewed,ci,ci
2018-04-05T22:19:52.890Z,41.478,-77.3828,0,2.6,mb_lg,,27,0.237,0.55,us,us2000dv94,2018-04-16T02:15:02.898Z,"30km SSW of Wellsboro, Pennsylvania",mining explosion,2,2,0.089,33,reviewed,us,us
2018-04-05T20:39:41.010Z,35.5186667,-120.0788333,11.99,2.61,md,66,113,0.05054,0.09,nc,nc72995851,2018-04-14T04:52:03.475Z,"20km NNW of Simmler, CA",earthquake,0.21,0.4,0.132,52,reviewed,nc,nc
2018-04-05T20:22:41.350Z,35.5256667,-120.0695,12.2,2.93,ml,68,71,0.05277,0.08,nc,nc72995846,2018-04-06T19:44:46.062Z,"20km NNW of Simmler, CA",earthquake,0.24,0.36,0.133,13,reviewed,nc,nc
2018-04-05T19:34:50.910Z,33.8306667,-119.728,9.79,2.58,ml,20,129,0.1816,0.31,ci,ci37184060,2018-04-11T23:15:18.010Z,"30km SW of Santa Cruz Is. (E end), CA",earthquake,0.56,31.61,0.111,12,reviewed,ci,ci
2018-04-05T19:29:16.500Z,33.8375,-119.7258333,9.87,5.31,mw,90,129,0.1747,0.31,ci,ci37908735,2018-04-17T16:59:33.934Z,"29km SW of Santa Cruz Is. (E end), CA",earthquake,0.28,31.61,,6,reviewed,ci,ci
2018-04-05T13:22:31.020Z,44.7585,-111.1235,11.27,2.52,ml,26,53,0.03957,0.19,uu,uu60276377,2018-04-09T17:10:43.040Z,"10km N of West Yellowstone, Montana",earthquake,0.36,0.42,0.16,5,reviewed,uu,uu
2018-04-05T08:51:40.850Z,36.4627,-96.8629,5.15,3.2,mb_lg,,64,0.08,0.18,us,us2000duvg,2018-04-06T03:23:12.229Z,"14km NNW of Pawnee, Oklahoma",earthquake,0.8,5.7,0.046,122,reviewed,us,us
2018-04-05T05:20:08.060Z,38.7161667,-119.6096667,-1.76,2.82,md,54,108,0.2506,0.15,nc,nc72995506,2018-04-10T05:07:02.644Z,"16km E of Markleeville, CA",earthquake,0.23,0.83,0.254,64,reviewed,nc,nc
